Financial year,Period,Fin-period,Great Britain or Non-Great Britain,Vehicle group,Mechanical checks,obsStatus1,Mechanical prohibitions issued,obsStatus2,Mechanical prohibition rate,obsStatus3,Traffic checks,obsStatus4,Drivers' hours prohibitions issued,obsStatus5,Drivers' hours prohibition rate,obsStatus6,Offence prohibition,obsStatus7,Offence prohibition rate,obsStatus8,Weight checks,obsStatus9,Overload prohibitions issued,obsStatus10,Overload prohibition rate,obsStatus11,Fixed penalties,obsStatus12,Penalty amount,obsStatus13
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,Car,151,,86,,56.95,,13,,1,,7.69,,4,,30.77,,4,,0,,0.00,,3,,£800.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,Heavy goods vehicle (HGV),5670,,1449,,25.56,,5657,,158,,2.79,,98,,1.73,,956,,274,,28.66,,799,,£126900.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,LGV,1157,,695,,60.07,,624,,10,,1.60,,31,,4.97,,527,,393,,74.57,,248,,£50000.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,Non Testable,536,,283,,52.80,,371,,2,,0.54,,0,,0.00,,145,,4,,2.76,,9,,£1200.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,PSV,369,,92,,24.93,,246,,13,,5.28,,0,,0.00,,0,,0,,,x,18,,£2350.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,Taxi,54,,41,,75.93,,1,,0,,0.00,,0,,0.00,,0,,0,,,x,0,,,x
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Great Britain,Trailer,2430,,703,,28.93,,0,,0,,,x,0,,,x,5,,0,,0.00,,0,,,x
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Non-Great Britain,Car,1,,1,,100.00,,0,,0,,,x,0,,,x,0,,0,,,x,0,,,x
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Non-Great Britain,Heavy goods vehicle (HGV),6341,,1213,,19.13,,10051,,193,,1.92,,247,,2.46,,1192,,233,,19.55,,4071,,£888150.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Non-Great Britain,LGV,84,,46,,54.76,,112,,4,,3.57,,20,,17.86,,84,,59,,70.24,,97,,£14350.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Non-Great Britain,Non Testable,39,,27,,69.23,,53,,0,,0.00,,0,,0.00,,22,,0,,0.00,,0,,,x
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Non-Great Britain,PSV,5,,2,,40.00,,11,,0,,0.00,,0,,0.00,,0,,0,,,x,2,,£600.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Non-Great Britain,Trailer,6047,,1894,,31.32,,0,,0,,,x,0,,,x,17,,0,,0.00,,1,,£300.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Non-Great Britain,Subtotal,22884,,6532,,28.54,,17139,,381,,2.22,,400,,2.33,,2952,,963,,32.62,,5248,,£1084650.00,
2022 to 2023,Quarter 4: January to March,2022-2023/Q4,Total,2022 to 2023 quarter 4,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x,,x
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Great Britain,Car,246,,147,,59.76,,22,,1,,4.55,,7,,31.82,,9,,4,,44.44,,11,,£2100.00,
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Great Britain,Heavy goods vehicle (HGV),3928,,880,,22.40,,4017,,95,,2.36,,68,,1.69,,605,,184,,30.41,,570,,£100650.00,
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Great Britain,LGV,1997,,1154,,57.79,,1019,,16,,1.57,,66,,6.48,,837,,579,,69.18,,357,,£66950.00,
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Great Britain,Non Testable,591,,310,,52.45,,408,,0,,0.00,,0,,0.00,,163,,1,,0.61,,3,,£300.00,
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Great Britain,PSV,998,,190,,19.04,,563,,9,,1.60,,3,,0.53,,2,,1,,50.00,,18,,£3050.00,
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Great Britain,Taxi,170,,109,,64.12,,1,,0,,0.00,,0,,0.00,,0,,0,,,x,8,,£550.00,
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Great Britain,Trailer,1654,,385,,23.28,,0,,0,,,x,0,,,x,1,,0,,0.00,,0,,,x
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Non-Great Britain,Car,2,,1,,50.00,,0,,0,,,x,0,,,x,0,,0,,,x,0,,,x
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Non-Great Britain,Heavy goods vehicle (HGV),4639,,947,,20.41,,7373,,155,,2.10,,188,,2.55,,413,,135,,32.69,,3259,,£724900.00,
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Non-Great Britain,LGV,165,,69,,41.82,,239,,6,,2.51,,33,,13.81,,187,,115,,61.50,,151,,£24200.00,
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Non-Great Britain,Non Testable,53,,23,,43.40,,58,,0,,0.00,,0,,0.00,,32,,0,,0.00,,0,,,x
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Non-Great Britain,PSV,18,,6,,33.33,,30,,2,,6.67,,0,,0.00,,0,,0,,,x,4,,£1200.00,
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Non-Great Britain,Taxi,2,,2,,100.00,,0,,0,,,x,0,,,x,0,,0,,,x,0,,,x
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Non-Great Britain,Trailer,4459,,1373,,30.79,,0,,0,,,x,0,,,x,12,,0,,0.00,,1,,£100.00,
2022 to 2023,Quarter 3: October to December,2022-2023/Q3,Total,2022 to 2023 quarter 3,18922,,5596,,29.57,,13730,,284,,2.07,,365,,2.66,,2261,,1019,,45.07,,4382,,£924000.00,
2022 to 2023,Quarter 2: July to September,2022-2023/Q2,Great Britain,Car,291,,157,,53.95,,29,,1,,3.45,,12,,41.38,,11,,5,,45.45,,9,,£2350.00,
2022 to 2023,Quarter 2: July to September,2022-2023/Q2,Great Britain,Heavy goods vehicle (HGV),3640,,827,,22.72,,4022,,89,,2.21,,73,,1.82,,527,,169,,32.07,,538,,£94700.00,
2022 to 2023,Quarter 2: July to September,2022-2023/Q2,Great Britain,LGV,2108,,1081,,51.28,,1206,,25,,2.07,,97,,8.04,,952,,633,,66.49,,403,,£82800.00,
2022 to 2023,Quarter 2: July to September,2022-2023/Q2,Great Britain,Non Testable,852,,410,,48.12,,509,,0,,0.00,,2,,0.39,,212,,1,,0.47,,7,,£700.00,
2022 to 2023,Quarter 2: July to September,2022-2023/Q2,Great Britain,PSV,1027,,137,,13.34,,837,,13,,1.55,,22,,2.63,,1,,0,,0.00,,33,,£7250.00,
2022 to 2023,Quarter 2: July to September,2022-2023/Q2,Great Britain,Taxi,174,,92,,52.87,,6,,0,,0.00,,0,,0.00,,0,,0,,,x,2,,£150.00,
2022 to 2023,Quarter 2: July to September,2022-2023/Q2,Great Britain,Trailer,1632,,385,,23.59,,0,,0,,,x,0,,,x,8,,0,,0.00,,0,,,x
2022 to 2023,Quarter 2: July to September,2022-2023/Q2,Non-Great Britain,Heavy goods vehicle (HGV),4578,,852,,18.61,,7363,,191,,2.59,,204,,2.77,,407,,149,,36.61,,3626,,£880900.00,
